t [s],P [Pa],T [K],M_liq [kg],mdot [kg/s],V_gas [m^3]
0.000000e+00,5.000000e+06,2.931500e+02,3.518932e+01,1.248059e+00,4.980000e-03
5.000000e-02,4.921453e+06,2.931500e+02,3.512692e+01,1.238044e+00,5.059481e-03
1.000000e-01,4.845937e+06,2.931500e+02,3.506502e+01,1.228339e+00,5.138325e-03
1.500000e-01,4.773269e+06,2.931500e+02,3.500360e+01,1.218927e+00,5.216551e-03
2.000000e-01,4.703281e+06,2.931500e+02,3.494266e+01,1.209792e+00,5.294177e-03
2.500000e-01,4.635817e+06,2.931500e+02,3.488217e+01,1.200922e+00,5.371222e-03
3.000000e-01,4.570735e+06,2.931500e+02,3.482212e+01,1.192302e+00,5.447701e-03
3.500000e-01,4.507904e+06,2.931500e+02,3.476251e+01,1.183920e+00,5.523632e-03
4.000000e-01,4.447200e+06,2.931500e+02,3.470331e+01,1.175766e+00,5.599029e-03
4.500000e-01,4.388511e+06,2.931500e+02,3.464452e+01,1.167828e+00,5.673906e-03
5.000000e-01,4.331732e+06,2.931500e+02,3.458613e+01,1.160097e+00,5.748278e-03
5.500000e-01,4.276765e+06,2.931500e+02,3.452813e+01,1.152563e+00,5.822158e-03
6.000000e-01,4.223519e+06,2.931500e+02,3.447050e+01,1.145218e+00,5.895558e-03
6.500000e-01,4.171909e+06,2.931500e+02,3.441324e+01,1.138053e+00,5.968490e-03
7.000000e-01,4.121857e+06,2.931500e+02,3.435633e+01,1.131062e+00,6.040966e-03
7.500000e-01,4.073289e+06,2.931500e+02,3.429978e+01,1.124235e+00,6.112997e-03
8.000000e-01,4.026134e+06,2.931500e+02,3.424357e+01,1.117568e+00,6.184593e-03
8.500000e-01,3.980329e+06,2.931500e+02,3.418769e+01,1.111053e+00,6.255764e-03
9.000000e-01,3.935813e+06,2.931500e+02,3.413214e+01,1.104685e+00,6.326520e-03
9.500000e-01,3.892528e+06,2.931500e+02,3.407690e+01,1.098457e+00,6.396871e-03
1.000000e+00,3.850421e+06,2.931500e+02,3.402198e+01,1.092365e+00,6.466825e-03
1.050000e+00,3.809441e+06,2.931500e+02,3.396736e+01,1.086403e+00,6.536392e-03
1.100000e+00,3.769541e+06,2.931500e+02,3.391304e+01,1.080567e+00,6.605578e-03
1.150000e+00,3.730676e+06,2.931500e+02,3.385901e+01,1.074851e+00,6.674393e-03
1.200000e+00,3.692804e+06,2.931500e+02,3.380527e+01,1.069252e+00,6.742844e-03
1.250000e+00,3.655884e+06,2.931500e+02,3.375181e+01,1.063766e+00,6.810939e-03
1.300000e+00,3.619879e+06,2.931500e+02,3.369862e+01,1.058388e+00,6.878684e-03
1.350000e+00,3.584753e+06,2.931500e+02,3.364570e+01,1.053115e+00,6.946086e-03
1.400000e+00,3.550472e+06,2.931500e+02,3.359304e+01,1.047943e+00,7.013153e-03
1.450000e+00,3.517004e+06,2.931500e+02,3.354065e+01,1.042869e+00,7.079890e-03
1.500000e+00,3.484319e+06,2.931500e+02,3.348850e+01,1.037890e+00,7.146304e-03
1.550000e+00,3.452387e+06,2.931500e+02,3.343661e+01,1.033003e+00,7.212401e-03
1.600000e+00,3.421182e+06,2.931500e+02,3.338496e+01,1.028204e+00,7.278187e-03
1.650000e+00,3.390676e+06,2.931500e+02,3.333355e+01,1.023491e+00,7.343667e-03
1.700000e+00,3.360847e+06,2.931500e+02,3.328237e+01,1.018861e+00,7.408847e-03
