t [s],P [Pa],T [K],M_liq [kg],mdot [kg/s],V_gas [m^3],m_N2 [kg]
0.000000e+00,5.000000e+06,2.731500e+02,7.291170e+00,3.379375e+00,1.083461e-03,6.226248e-02
5.000000e-02,5.000000e+06,2.731500e+02,7.122202e+00,3.379375e+00,1.266923e-03,7.280531e-02
1.000000e-01,5.000000e+06,2.731500e+02,6.953233e+00,3.379375e+00,1.450384e-03,8.334815e-02
1.500000e-01,5.000000e+06,2.731500e+02,6.784264e+00,3.379375e+00,1.633845e-03,9.389099e-02
2.000000e-01,5.000000e+06,2.731500e+02,6.615295e+00,3.379375e+00,1.817307e-03,1.044338e-01
2.500000e-01,5.000000e+06,2.731500e+02,6.446327e+00,3.379375e+00,2.000768e-03,1.149767e-01
3.000000e-01,5.000000e+06,2.731500e+02,6.277358e+00,3.379375e+00,2.184229e-03,1.255195e-01
3.500000e-01,5.000000e+06,2.731500e+02,6.108389e+00,3.379375e+00,2.367691e-03,1.360623e-01
4.000000e-01,5.000000e+06,2.731500e+02,5.939420e+00,3.379375e+00,2.551152e-03,1.466052e-01
4.500000e-01,5.000000e+06,2.731500e+02,5.770452e+00,3.379375e+00,2.734613e-03,1.571480e-01
5.000000e-01,5.000000e+06,2.731500e+02,5.601483e+00,3.379375e+00,2.918074e-03,1.676908e-01
5.500000e-01,5.000000e+06,2.731500e+02,5.432514e+00,3.379375e+00,3.101536e-03,1.782337e-01
6.000000e-01,5.000000e+06,2.731500e+02,5.263545e+00,3.379375e+00,3.284997e-03,1.887765e-01
6.500000e-01,5.000000e+06,2.731500e+02,5.094577e+00,3.379375e+00,3.468458e-03,1.993194e-01
7.000000e-01,5.000000e+06,2.731500e+02,4.925608e+00,3.379375e+00,3.651920e-03,2.098622e-01
7.500000e-01,5.000000e+06,2.731500e+02,4.756639e+00,3.379375e+00,3.835381e-03,2.204050e-01
8.000000e-01,5.000000e+06,2.731500e+02,4.587670e+00,3.379375e+00,4.018842e-03,2.309479e-01
8.500000e-01,5.000000e+06,2.731500e+02,4.418702e+00,3.379375e+00,4.202304e-03,2.414907e-01
9.000000e-01,5.000000e+06,2.731500e+02,4.249733e+00,3.379375e+00,4.385765e-03,2.520335e-01
9.500000e-01,5.000000e+06,2.731500e+02,4.080764e+00,3.379375e+00,4.569226e-03,2.625764e-01
1.000000e+00,5.000000e+06,2.731500e+02,3.911795e+00,3.379375e+00,4.752688e-03,2.731192e-01
1.050000e+00,5.000000e+06,2.731500e+02,3.742827e+00,3.379375e+00,4.936149e-03,2.836620e-01
1.100000e+00,5.000000e+06,2.731500e+02,3.573858e+00,3.379375e+00,5.119610e-03,2.942049e-01
1.150000e+00,5.000000e+06,2.731500e+02,3.404889e+00,3.379375e+00,5.303072e-03,3.047477e-01
1.200000e+00,5.000000e+06,2.731500e+02,3.235920e+00,3.379375e+00,5.486533e-03,3.152906e-01
1.250000e+00,5.000000e+06,2.731500e+02,3.066952e+00,3.379375e+00,5.669994e-03,3.258334e-01
1.300000e+00,5.000000e+06,2.731500e+02,2.897983e+00,3.379375e+00,5.853455e-03,3.363762e-01
1.350000e+00,5.000000e+06,2.731500e+02,2.729014e+00,3.379375e+00,6.036917e-03,3.469191e-01
1.400000e+00,5.000000e+06,2.731500e+02,2.560045e+00,3.379375e+00,6.220378e-03,3.574619e-01
1.450000e+00,5.000000e+06,2.731500e+02,2.391076e+00,3.379375e+00,6.403839e-03,3.680047e-01
1.500000e+00,5.000000e+06,2.731500e+02,2.222108e+00,3.379375e+00,6.587301e-03,3.785476e-01
1.550000e+00,5.000000e+06,2.731500e+02,2.053139e+00,3.379375e+00,6.770762e-03,3.890904e-01
1.600000e+00,5.000000e+06,2.731500e+02,1.884170e+00,3.379375e+00,6.954223e-03,3.996333e-01
1.650000e+00,5.000000e+06,2.731500e+02,1.715201e+00,3.379375e+00,7.137685e-03,4.101761e-01
1.700000e+00,5.000000e+06,2.731500e+02,1.546233e+00,3.379375e+00,7.321146e-03,4.207189e-01
1.750000e+00,5.000000e+06,2.731500e+02,1.377264e+00,3.379375e+00,7.504607e-03,4.312618e-01
1.800000e+00,5.000000e+06,2.731500e+02,1.208295e+00,3.379375e+00,7.688069e-03,4.418046e-01
1.850000e+00,5.000000e+06,2.731500e+02,1.039326e+00,3.379375e+00,7.871530e-03,4.523474e-01
1.900000e+00,5.000000e+06,2.731500e+02,8.703577e-01,3.379375e+00,8.054991e-03,4.628903e-01
1.950000e+00,5.000000e+06,2.731500e+02,7.013889e-01,3.379375e+00,8.238453e-03,4.734331e-01
2.000000e+00,5.000000e+06,2.731500e+02,5.324202e-01,3.379375e+00,8.421914e-03,4.839759e-01
2.050000e+00,5.000000e+06,2.731500e+02,3.634514e-01,3.379375e+00,8.605375e-03,4.945188e-01
2.100000e+00,5.000000e+06,2.731500e+02,1.944826e-01,3.379375e+00,8.788836e-03,5.050616e-01
2.150000e+00,5.000000e+06,2.731500e+02,2.551388e-02,3.379375e+00,8.972298e-03,5.156045e-01
2.200000e+00,5.000000e+06,2.731500e+02,0.000000e+00,5.102777e-01,9.000000e-03,5.171964e-01
