t [s],P [Pa],T [K],M [kg],x [-],mdot [kg/s]
0.000000e+00,4.000000e+06,2.831375e+02,7.006538e+00,1.475445e-02,1.228602e+00
5.000000e-01,3.862569e+06,2.816886e+02,6.392237e+00,3.102431e-02,1.150332e+00
1.000000e+00,3.720060e+06,2.801453e+02,5.817071e+00,4.739417e-02,1.060788e+00
1.500000e+00,3.574689e+06,2.785254e+02,5.286677e+00,6.363178e-02,9.580674e-01
2.000000e+00,3.429885e+06,2.768629e+02,4.807643e+00,7.940322e-02,8.398954e-01
2.500000e+00,3.290632e+06,2.752147e+02,4.387695e+00,9.424229e-02,7.033364e-01
3.000000e+00,3.163802e+06,2.736685e+02,4.036027e+00,1.075169e-01,5.436496e-01
3.500000e+00,3.058520e+06,2.723502e+02,3.764202e+00,1.183863e-01,3.478036e-01
4.000000e+00,2.987495e+06,2.714420e+02,3.590301e+00,1.256521e-01,5.425403e-02
4.500000e+00,2.976140e+06,2.712953e+02,3.563174e+00,1.268090e-01,5.423530e-02
5.000000e+00,2.964714e+06,2.711473e+02,3.536056e+00,1.279721e-01,5.421629e-02
5.500000e+00,2.953213e+06,2.709980e+02,3.508948e+00,1.291415e-01,5.419701e-02
6.000000e+00,2.941639e+06,2.708472e+02,3.481849e+00,1.303173e-01,5.417744e-02
6.500000e+00,2.929990e+06,2.706950e+02,3.454760e+00,1.314994e-01,5.415759e-02
7.000000e+00,2.918266e+06,2.705414e+02,3.427682e+00,1.326880e-01,5.413743e-02
7.500000e+00,2.906465e+06,2.703864e+02,3.400613e+00,1.338832e-01,5.411698e-02
8.000000e+00,2.894587e+06,2.702299e+02,3.373554e+00,1.350851e-01,5.409622e-02
8.500000e+00,2.882631e+06,2.700718e+02,3.346506e+00,1.362936e-01,5.407515e-02
9.000000e+00,2.870597e+06,2.699123e+02,3.319469e+00,1.375090e-01,5.405376e-02
9.500000e+00,2.858483e+06,2.697512e+02,3.292442e+00,1.387313e-01,5.403204e-02
1.000000e+01,2.846288e+06,2.695885e+02,3.265426e+00,1.399605e-01,5.400998e-02
1.050000e+01,2.834013e+06,2.694242e+02,3.238421e+00,1.411969e-01,5.398758e-02
1.100000e+01,2.821656e+06,2.692583e+02,3.211427e+00,1.424404e-01,5.396483e-02
1.150000e+01,2.809216e+06,2.690908e+02,3.184445e+00,1.436911e-01,5.394173e-02
1.200000e+01,2.796692e+06,2.689215e+02,3.157474e+00,1.449493e-01,5.391826e-02
1.250000e+01,2.784083e+06,2.687506e+02,3.130515e+00,1.462148e-01,5.389442e-02
1.300000e+01,2.771389e+06,2.685780e+02,3.103568e+00,1.474879e-01,5.387020e-02
1.350000e+01,2.758609e+06,2.684036e+02,3.076632e+00,1.487687e-01,5.384558e-02
1.400000e+01,2.745741e+06,2.682274e+02,3.049710e+00,1.500572e-01,5.382057e-02
1.450000e+01,2.732786e+06,2.680494e+02,3.022799e+00,1.513535e-01,5.379515e-02
1.500000e+01,2.719741e+06,2.678695e+02,2.995902e+00,1.526578e-01,5.376932e-02
1.550000e+01,2.706606e+06,2.676878e+02,2.969017e+00,1.539702e-01,5.374305e-02
1.600000e+01,2.693379e+06,2.675041e+02,2.942146e+00,1.552907e-01,5.371635e-02
1.650000e+01,2.680061e+06,2.673185e+02,2.915287e+00,1.566195e-01,5.368921e-02
1.700000e+01,2.666650e+06,2.671310e+02,2.888443e+00,1.579568e-01,5.366160e-02
1.750000e+01,2.653145e+06,2.669414e+02,2.861612e+00,1.593026e-01,5.363353e-02
1.800000e+01,2.639544e+06,2.667498e+02,2.834795e+00,1.606570e-01,5.360498e-02
1.850000e+01,2.625848e+06,2.665561e+02,2.807993e+00,1.620202e-01,5.357593e-02
1.900000e+01,2.612054e+06,2.663602e+02,2.781205e+00,1.633923e-01,5.354639e-02
1.950000e+01,2.598162e+06,2.661622e+02,2.754432e+00,1.647734e-01,5.351633e-02
2.000000e+01,2.584171e+06,2.659621e+02,2.727673e+00,1.661636e-01,5.348574e-02
